event,excel_rank,poi_value,P_value_given_event_pct,P_value_given_non_event_pct,discrimination_gap_pp,implied_balanced_accuracy_pct
Plane,18,tram_crossing,36.47,17.36,19.11,59.55
Plane,19,tram_level_crossing,35.00,15.99,19.01,59.51
Plane,20,grass,91.18,72.20,18.98,59.49
Plane,21,motorway_link,35.29,17.47,17.82,58.91
Plane,22,bench,90.29,73.25,17.04,58.52
Plane,23,give_way,62.35,45.48,16.87,58.44
Plane,24,bus_stop,92.06,75.21,16.85,58.43
Plane,25,sports_center,62.06,45.36,16.70,58.35
Plane,26,platform,92.06,75.47,16.59,58.30
Plane,27,street_lamp,62.06,46.22,15.84,57.92
Plane,28,stop_position,70.00,55.29,14.71,57.36
Plane,29,tertiary,95.88,81.27,14.61,57.30
Plane,30,school,80.59,66.05,14.54,57.27
Plane,31,apartments,81.76,67.30,14.46,57.23
Plane,32,village_green,29.71,15.48,14.23,57.11
Plane,33,pitch,89.71,76.35,13.36,56.68
Plane,34,public_bookcase,31.47,18.21,13.26,56.63
Plane,35,house,88.82,75.73,13.09,56.54
Plane,36,festival_grounds,14.41,1.45,12.96,56.48
Plane,37,bunker,19.71,6.83,12.88,56.44
Plane,38,artwork,67.35,54.55,12.80,56.40
Plane,39,parking,98.53,85.97,12.56,56.28
Plane,40,garages,43.24,31.33,11.91,55.95
Plane,41,drinking water,55.88,44.05,11.83,55.92
Plane,42,playground,80.88,69.35,11.53,55.77
Plane,43,scrub,63.24,51.71,11.53,55.77
Plane,44,shed,52.65,41.66,10.99,55.50
Plane,45,path,96.47,85.77,10.70,55.35
Plane,46,schoolyard,14.12,3.50,10.62,55.31
Plane,47,no,17.35,7.03,10.32,55.16
Plane,48,razed,18.24,8.17,10.07,55.03
Shout or scream,1,fast_food,97.06,58.66,38.40,69.20
Shout or scream,2,ice_cream,72.06,34.50,37.56,68.78
Shout or scream,3,stop,80.88,48.68,32.20,66.10
Shout or scream,4,theatre,64.71,34.63,30.08,65.04
Shout or scream,5,atm,73.53,45.22,28.31,64.16
Shout or scream,6,trunk_link,42.65,14.74,27.91,63.95
Shout or scream,7,taxi,55.88,28.87,27.01,63.50
Shout or scream,8,vending_machine,69.12,42.60,26.52,63.26
Shout or scream,9,bar,73.53,47.09,26.44,63.22
Shout or scream,10,trunk,45.59,19.41,26.18,63.09
Shout or scream,11,museum,64.71,38.62,26.09,63.05
Shout or scream,12,shed,67.65,42.18,25.47,62.73
Shout or scream,13,traffic_signals,82.35,57.45,24.90,62.45
Shout or scream,14,drinking water,69.12,44.66,24.46,62.23
Shout or scream,15,the roof,83.82,59.61,24.21,62.10
Shout or scream,16,hospital,47.06,23.35,23.71,61.86
Shout or scream,17,railway,60.29,36.66,23.63,61.81
Shout or scream,18,station,60.29,37.06,23.23,61.61
Shout or scream,19,veterinary,44.12,20.89,23.23,61.61
Shout or scream,20,pharmacy,76.47,53.38,23.09,61.55
Shout or scream,21,apartments,91.18,68.17,23.01,61.51
Shout or scream,22,proposed,44.12,21.13,22.99,61.50
Shout or scream,23,dog_park,48.53,25.57,22.96,61.48
Shout or scream,24,events_venue,38.24,15.35,22.89,61.45
Shout or scream,25,commercial,82.35,59.48,22.87,61.44
Shout or scream,26,school,89.71,66.93,22.78,61.39
Shout or scream,27,sports_center,69.12,46.43,22.69,61.34
Shout or scream,28,artwork,77.94,55.28,22.66,61.33
Shout or scream,29,forest,82.35,59.85,22.50,61.25
Shout or scream,30,car_wash,41.18,18.91,22.27,61.14
Shout or scream,31,restaurant,94.12,72.05,22.07,61.04
Shout or scream,32,turning_circle,72.06,50.05,22.01,61.01
Shout or scream,33,compressed_air,26.47,4.52,21.95,60.98
Shout or scream,34,no,29.41,7.55,21.86,60.93
Shout or scream,35,childcare,38.24,16.46,21.78,60.89
Shout or scream,36,parking_entrance,63.24,41.52,21.72,60.86
Shout or scream,37,secondary,91.18,69.70,21.48,60.74
Shout or scream,38,pitch,98.53,77.15,21.38,60.69
Shout or scream,39,level_crossing,44.12,22.79,21.33,60.67
Shout or scream,40,doctors,54.41,33.23,21.18,60.59
Shout or scream,41,fountain,66.18,45.06,21.12,60.56
Shout or scream,42,college,48.53,27.44,21.09,60.55
Shout or scream,43,social facility,60.29,39.30,20.99,60.50
Shout or scream,44,helter,72.06,51.22,20.84,60.42
Shout or scream,45,garage,64.71,44.00,20.71,60.35
Shout or scream,46,parcel_locker,35.29,14.63,20.66,60.33
Shout or scream,47,viewpoint,58.82,38.72,20.10,60.05
Shout or scream,48,swimming pool,69.12,49.08,20.04,60.02
Shout or scream,49,mini_roundabout,26.47,6.50,19.97,59.98
Shout or scream,50,fitness_center,55.88,36.08,19.80,59.90
Singing,1,community_center,69.14,34.51,34.63,67.31
Singing,2,dentist,64.20,33.32,30.88,65.44
Singing,3,kindergarten,65.43,35.49,29.94,64.97
Singing,4,transportation,43.21,13.81,29.40,64.70
Singing,5,post_office,69.14,39.86,29.28,64.64
Singing,6,secondary_link,59.26,30.32,28.94,64.47
Singing,7,driving_school,40.74,11.87,28.87,64.44
Singing,8,scrub,77.78,52.19,25.59,62.80
Singing,9,religious,48.15,22.63,25.52,62.76
Singing,10,public,53.09,28.17,24.92,62.46
Singing,11,education,34.57,9.70,24.87,62.44
Singing,12,fitness_center,60.49,35.91,24.58,62.29
Singing,13,arts_centre,46.91,22.50,24.41,62.20
Singing,14,brownfield,49.38,25.42,23.96,61.98
Singing,15,railway,60.49,36.58,23.91,61.95
Singing,16,speed_camera,44.44,21.20,23.24,61.62
Singing,17,apartment,41.98,18.95,23.03,61.52
Singing,18,stop,71.60,48.77,22.83,61.41
Singing,19,doctors,55.56,33.13,22.43,61.22
Singing,20,fuel,67.90,46.59,21.31,60.66
Singing,21,hour,43.21,22.00,21.21,60.61
Singing,22,office,60.49,39.46,21.03,60.52
Singing,23,steps,91.36,70.55,20.81,60.41
Singing,24,primary_link,45.68,24.91,20.77,60.39
Singing,25,bank,62.96,42.51,20.45,60.23
Singing,26,allotments,43.21,23.22,19.99,60.00
Singing,27,escape_game,28.40,8.61,19.79,59.89
Singing,28,trunk_link,34.57,14.82,19.75,59.88
Singing,29,subway,33.33,13.73,19.60,59.80
Singing,30,pharmacy,72.84,53.38,19.46,59.73
Singing,31,subway_entrance,33.33,14.05,19.28,59.64
Singing,32,kiosk,29.63,10.68,18.95,59.47
Singing,33,tertiary_link,40.74,21.81,18.93,59.47
Singing,34,place_of_worship,90.12,71.27,18.85,59.43
Singing,35,construction,67.90,49.35,18.55,59.28
Singing,36,school,85.19,66.95,18.24,59.12
Singing,37,civic,40.74,22.55,18.19,59.09
Singing,38,greenhouse,34.57,16.80,17.77,58.89
Singing,39,monastery,23.46,5.75,17.71,58.86
Singing,40,recreation_ground,38.27,20.65,17.62,58.81
Singing,41,give_way,64.20,46.59,17.61,58.80
Singing,42,trunk,37.04,19.51,17.53,58.77
Singing,43,gallery,39.51,22.13,17.38,58.69
Singing,44,industrial,75.31,58.28,17.03,58.52
Singing,45,pub,60.49,43.49,17.00,58.50
Singing,46,music_school,25.93,9.30,16.63,58.31
Singing,47,car_rental,38.27,21.84,16.43,58.22
Singing,48,fast_food,75.31,59.00,16.31,58.16
Singing,49,church,74.07,57.88,16.19,58.09
Singing,50,tree_row,64.20,48.18,16.02,58.01
Siren,1,buffer_stop,82.61,21.16,61.45,80.72
Siren,2,clinic,91.30,35.32,55.98,77.99
Siren,3,university,79.71,25.57,54.14,77.07
Siren,4,arts_centre,73.91,22.09,51.82,75.91
Siren,5,switch,82.61,31.10,51.51,75.75
Siren,6,doctors,84.06,32.68,51.38,75.69
Siren,7,hospital,72.46,22.88,49.58,74.79
Siren,8,police,84.06,34.66,49.40,74.70
Siren,9,dentist,81.16,33.10,48.06,74.03
Siren,10,library,85.51,37.86,47.65,73.83
Siren,11,waste_disposal,76.81,31.78,45.03,72.52
Siren,12,atm,89.86,44.91,44.95,72.47
Siren,13,government,59.42,15.38,44.04,72.02
Siren,14,community_center,78.26,34.45,43.81,71.91
Siren,15,social facility,82.61,38.89,43.72,71.86
Siren,16,hour,65.22,21.66,43.56,71.78
Siren,17,nightclub,65.22,21.66,43.56,71.78
Siren,18,kindergarten,78.26,35.35,42.91,71.46
Siren,19,pharmacy,95.65,53.03,42.62,71.31
Siren,20,bank,84.06,42.19,41.87,70.94
Siren,21,station,78.26,36.72,41.54,70.77
Siren,22,bicycle_rental,78.26,37.01,41.25,70.62
Siren,23,gallery,62.32,21.77,40.55,70.28
Siren,24,office,79.71,39.18,40.53,70.27
Siren,25,railway_crossing,55.07,14.80,40.27,70.14
Siren,26,street_lamp,86.96,46.90,40.06,70.03
Siren,27,ice_cream,73.91,34.45,39.46,69.73
Siren,28,commercial,98.55,59.18,39.37,69.69
Siren,29,attraction,79.71,40.87,38.84,69.42
Siren,30,public,66.67,28.01,38.66,69.33
Siren,31,train_station,59.42,20.77,38.65,69.33
Siren,32,parking_entrance,79.71,41.22,38.49,69.25
Siren,33,telephone,62.32,23.83,38.49,69.25
Siren,34,post_office,78.26,39.79,38.47,69.23
Siren,35,museum,76.81,38.39,38.42,69.21
Siren,36,stop,86.96,48.56,38.40,69.20
Siren,37,fitness_center,73.91,35.75,38.16,69.08
Siren,38,college,65.22,27.13,38.09,69.05
Siren,39,pub,81.16,43.17,37.99,69.00
Siren,40,apartment,56.52,18.76,37.76,68.88
Siren,41,parking_space,71.01,33.66,37.35,68.68
Siren,42,traffic_signals,94.20,57.23,36.97,68.48
Siren,43,fast_food,95.65,58.68,36.97,68.48
Siren,44,theatre,71.01,34.50,36.51,68.25
Siren,45,retail,95.65,59.18,36.47,68.23
Siren,46,studio,50.72,14.27,36.45,68.22
Siren,47,civic,57.97,22.30,35.67,67.84
Siren,48,construction,84.06,49.11,34.95,67.47
Siren,49,fountain,79.71,44.81,34.90,67.45
Siren,50,coffee,95.65,60.85,34.80,67.40
Speech,1,ice_cream,67.23,27.87,39.36,69.68
Speech,2,post_office,72.41,33.22,39.19,69.59
Speech,3,atm,76.61,38.69,37.92,68.96
Speech,4,taxi,58.96,22.61,36.35,68.17
Speech,5,construction,77.59,43.41,34.18,67.09
Speech,6,stop,76.75,42.99,33.76,66.88
Speech,7,public,56.02,22.48,33.54,66.77
Speech,8,theatre,61.90,29.08,32.82,66.41
Speech,9,station,64.01,31.43,32.58,66.29
Speech,10,fast_food,85.57,53.38,32.19,66.09
Speech,11,parking_entrance,67.65,36.05,31.60,65.80
Speech,12,coffee,86.83,55.70,31.13,65.56
Speech,13,telephone,49.58,18.82,30.76,65.38
Speech,14,pharmacy,78.71,48.12,30.59,65.30
Speech,15,train_station,46.08,15.86,30.22,65.11
Speech,16,hotel,75.77,45.61,30.16,65.08
Speech,17,museum,63.59,33.50,30.09,65.05
Speech,18,community_center,59.24,29.78,29.46,64.73
Speech,19,social facility,63.59,34.24,29.35,64.67
Speech,20,clinic,60.22,30.89,29.33,64.66
Speech,21,bar,70.87,42.26,28.61,64.31
Speech,22,outdoor_seating,56.72,28.28,28.44,64.22
Speech,23,commercial,83.05,54.62,28.43,64.22
Speech,24,office,63.03,34.65,28.38,64.19
Speech,25,college,50.70,22.61,28.09,64.05
Speech,26,retail,82.49,54.68,27.81,63.91
Speech,27,vending_machine,65.55,37.96,27.59,63.80
Speech,28,police,57.70,30.51,27.19,63.59
Speech,29,bureau_de_change,40.20,13.09,27.11,63.55
Speech,30,gallery,44.54,17.48,27.06,63.53
Speech,31,hostel,47.34,20.35,26.99,63.50
Speech,32,fitness_center,58.40,31.43,26.97,63.48
Speech,33,library,60.64,33.73,26.91,63.46
Speech,34,hour,44.26,17.48,26.78,63.39
Speech,35,subway,35.01,9.39,25.62,62.81
Speech,36,bank,63.59,38.25,25.34,62.67
Speech,37,elevator,46.92,22.01,24.91,62.45
Speech,38,nightclub,42.72,17.83,24.89,62.45
Speech,39,fuel,67.23,42.45,24.78,62.39
Speech,40,industrial,78.57,54.11,24.46,62.23
Speech,41,hospital,43.70,19.24,24.46,62.23
Speech,42,marketplace,42.72,18.38,24.34,62.17
Speech,43,university,46.36,22.04,24.32,62.16
Speech,44,artwork,75.49,51.18,24.31,62.16
Speech,45,buffer_stop,42.02,17.77,24.25,62.12
Speech,46,apartment,39.08,14.97,24.11,62.05
Speech,47,bus_station,36.97,13.03,23.94,61.97
Speech,48,doctors,53.08,29.17,23.91,61.95
Speech,49,veterinary,40.76,16.88,23.88,61.94
Speech,50,fountain,64.85,41.02,23.83,61.91
Train,1,railway,90.24,34.72,55.52,77.76
Train,2,switch,71.34,30.27,41.07,70.53
Train,3,level_crossing,59.76,21.54,38.22,69.11
Train,4,signal,50.61,16.88,33.73,66.87
Train,5,station,69.51,36.04,33.47,66.73
Train,6,post_office,70.12,39.16,30.96,65.48
Train,7,primary,74.39,43.44,30.95,65.47
Train,8,atm,75.00,44.42,30.58,65.29
Train,9,building,57.32,27.43,29.89,64.94
Train,10,buffer_stop,50.61,21.00,29.61,64.81
Train,11,elevator,54.88,25.37,29.51,64.75
Train,12,warehouse,51.22,23.04,28.18,64.09
Train,13,garages,58.54,31.22,27.32,63.66
Train,14,flowerbed,45.12,19.38,25.74,62.87
Train,15,dentist,58.54,32.87,25.67,62.83
Train,16,garage,68.90,43.28,25.62,62.81
Train,17,cinema,47.56,22.06,25.50,62.75
Train,18,railway_crossing,39.63,14.44,25.19,62.59
Train,19,train_station,45.12,20.41,24.71,62.36
Train,20,bank,66.46,41.90,24.56,62.28
Train,21,university,50.00,25.50,24.50,62.25
Train,22,government,39.02,15.15,23.87,61.94
Train,23,industrial,81.10,57.64,23.46,61.73
Train,24,cappella,43.90,20.51,23.39,61.69
Train,25,bus_station,39.63,16.48,23.15,61.58
Train,26,education,32.32,9.24,23.08,61.54
Train,27,brownfield,47.56,24.96,22.60,61.30
Train,28,grassland,50.00,27.59,22.41,61.20
Train,29,studio,35.98,13.98,22.00,61.00
Train,30,fitness_station,46.34,25.50,20.84,60.42
Train,31,fast_food,79.27,58.46,20.81,60.41
Train,32,car_wash,39.02,18.43,20.59,60.30
Train,33,motorcycle_parking,37.80,17.37,20.43,60.21
Train,34,doctors,52.44,32.76,19.68,59.84
Train,35,bridge,28.66,9.19,19.47,59.73
Train,36,parcel_locker,33.54,14.17,19.37,59.69
Train,37,bar,65.85,46.75,19.10,59.55
Train,38,attraction,59.76,40.76,19.00,59.50
Train,39,pharmacy,71.95,52.98,18.97,59.48
Train,40,fire_station,43.29,24.58,18.71,59.36
Train,41,taxi,46.95,28.56,18.39,59.20
Train,42,tertiary_link,39.63,21.44,18.19,59.09
Train,43,courthouse,34.15,16.02,18.13,59.06
Train,44,arts_centre,40.24,22.25,17.99,59.00
Train,45,stop,66.46,48.48,17.98,58.99
Train,46,parking_space,51.22,33.58,17.64,58.82
Train,47,disused,32.32,14.74,17.58,58.79
Train,48,speed_camera,38.41,20.95,17.46,58.73
Train,49,abandoned,39.02,21.57,17.45,58.73
Train,50,theatre,51.83,34.42,17.41,58.70
Tram,1,carport,72.07,9.89,62.18,81.09
Tram,2,parcel_locker,71.17,13.33,57.84,78.92
Tram,3,university,81.08,24.93,56.15,78.07
Tram,4,clinic,89.19,34.76,54.43,77.22
Tram,5,parking_entrance,94.59,40.34,54.25,77.12
Tram,6,fitness_center,88.29,34.89,53.40,76.70
Tram,7,tram_level_crossing,68.47,16.16,52.31,76.16
Tram,8,office,90.09,38.42,51.67,75.84
Tram,9,flowerbed,70.27,19.00,51.27,75.63
Tram,10,college,77.48,26.34,51.14,75.57
Tram,11,tram_crossing,68.47,17.58,50.89,75.44
Tram,12,tram_stop,70.27,19.56,50.71,75.35
Tram,13,bridge,58.56,8.58,49.98,74.99
Tram,14,garage,92.79,42.93,49.86,74.93
Tram,15,fitness_station,74.77,24.95,49.82,74.91
Tram,16,parking_space,81.98,32.91,49.07,74.53
Tram,17,level_crossing,70.27,21.77,48.50,74.25
Tram,18,building,75.68,27.30,48.38,74.19
Tram,19,childcare,63.06,15.47,47.59,73.80
Tram,20,sand,63.06,16.24,46.82,73.41
Tram,21,community_center,80.18,33.90,46.28,73.14
Tram,22,construction,94.59,48.41,46.18,73.09
Tram,23,vending_machine,87.39,41.76,45.63,72.81
Tram,24,primary,88.29,43.47,44.82,72.41
Tram,25,detached,76.58,32.38,44.20,72.10
Tram,26,elevator,69.37,25.35,44.02,72.01
Tram,27,tree_row,90.99,47.26,43.73,71.86
Tram,28,stop,90.99,48.01,42.98,71.49
Tram,29,adult_gaming_centre,48.65,5.96,42.69,71.34
Tram,30,proposed,62.16,20.33,41.83,70.91
Tram,31,garages,72.97,31.18,41.79,70.89
Tram,32,helter,91.89,50.39,41.50,70.75
Tram,33,hospital,63.96,22.58,41.38,70.69
Tram,34,light_rail,48.65,7.53,41.12,70.56
Tram,35,dentist,73.87,32.78,41.09,70.55
Tram,36,atm,85.59,44.54,41.05,70.53
Tram,37,industrial,98.20,57.47,40.73,70.37
Tram,38,shed,81.98,41.46,40.52,70.26
Tram,39,dog_park,64.86,24.82,40.04,70.02
Tram,40,bicycle_rental,76.58,36.60,39.98,69.99
Tram,41,semidetached_house,54.05,14.21,39.84,69.92
Tram,42,corridor,57.66,18.14,39.52,69.76
Tram,43,abandoned,60.36,21.19,39.17,69.59
Tram,44,turning_circle,88.29,49.32,38.97,69.48
Tram,45,terrace,64.86,26.08,38.78,69.39
Tram,46,garden,94.59,56.21,38.38,69.19
Tram,47,artwork,92.79,54.58,38.21,69.11
Tram,48,stop_position,93.69,55.49,38.20,69.10
Tram,49,traffic_signals,94.59,56.80,37.79,68.90
Tram,50,switch,68.47,30.94,37.53,68.77
Truck,1,motorway_junction,50.00,21.66,28.34,64.17
Truck,2,level_crossing,47.50,22.92,24.58,62.29
Truck,3,industrial,82.50,58.39,24.11,62.05
Truck,4,motorway_link,40.00,18.83,21.17,60.59
Truck,5,railway,57.50,36.86,20.64,60.32
Truck,6,motorway,40.00,20.58,19.42,59.71
Truck,7,prison,22.50,4.51,17.99,58.99
Truck,8,sand,35.00,17.41,17.59,58.80
Truck,9,allotments,40.00,23.47,16.53,58.27
Truck,10,heat,25.00,9.47,15.53,57.77
Truck,11,farm,17.50,2.94,14.56,57.28
Truck,12,services,15.00,3.12,11.88,55.94
Truck,13,animal_shelter,12.50,1.76,10.74,55.37
Truck,14,hunting_stand,12.50,2.23,10.27,55.13
Vehicle horn,1,station,65.22,36.79,28.43,64.22
Vehicle horn,2,bus_station,39.13,16.93,22.20,61.10
Vehicle horn,3,post_office,61.96,39.95,22.01,61.00
Vehicle horn,4,nightclub,43.48,21.93,21.55,60.77
Vehicle horn,5,library,58.70,38.22,20.48,60.24
Vehicle horn,6,childcare,34.78,16.40,18.38,59.19
Vehicle horn,7,industrial,76.09,58.21,17.88,58.94
Vehicle horn,8,primary,61.96,44.34,17.62,58.81
Vehicle horn,9,bank,59.78,42.53,17.25,58.62
Vehicle horn,10,motorcycle_parking,34.78,17.84,16.94,58.47
Vehicle horn,11,dentist,50.00,33.57,16.43,58.22
Vehicle horn,12,primary_link,41.30,24.96,16.34,58.17
Vehicle horn,13,coffee,77.17,61.08,16.09,58.05
Vehicle horn,14,bar,63.04,47.18,15.86,57.93
Vehicle horn,15,atm,60.87,45.35,15.52,57.76
Vehicle horn,16,level_crossing,38.04,22.81,15.23,57.61
Vehicle horn,17,hostel,40.22,24.99,15.23,57.62
Vehicle horn,18,ice_cream,50.00,34.80,15.20,57.60
Vehicle horn,19,language_school,25.00,9.94,15.06,57.53
Vehicle horn,20,police,50.00,35.19,14.81,57.41
Vehicle horn,21,hospital,38.04,23.42,14.62,57.31
Vehicle horn,22,hotel,65.22,50.85,14.37,57.19
Vehicle horn,23,dojo,20.65,6.30,14.35,57.17
Vehicle horn,24,office,53.26,39.58,13.68,56.84
Vehicle horn,25,marketplace,35.87,22.57,13.30,56.65
Vehicle horn,26,railway,50.00,36.76,13.24,56.62
Vehicle horn,27,clinic,48.91,36.02,12.89,56.44
Vehicle horn,28,studio,27.17,14.62,12.55,56.27
Vehicle horn,29,apartment,31.52,19.14,12.38,56.19
Vehicle horn,30,doctors,45.65,33.31,12.34,56.17
Vehicle horn,31,arts_centre,34.78,22.73,12.05,56.02
Vehicle horn,32,university,38.04,26.26,11.78,55.89
Vehicle horn,33,events_venue,27.17,15.47,11.70,55.85
Vehicle horn,34,coastline,30.43,18.95,11.48,55.74
Vehicle horn,35,conference_centre,18.48,7.15,11.33,55.66
Vehicle horn,36,common,16.30,5.77,10.53,55.27
Waves,1,beach,75.99,14.37,61.62,80.81
Waves,2,coastline,68.42,15.01,53.41,76.70
Waves,3,slipway,32.89,9.94,22.95,61.48
Waves,4,camp_site,27.63,7.69,19.94,59.97
Waves,5,track,87.83,72.31,15.52,57.76
Waves,6,shower,25.33,10.45,14.88,57.44
Waves,7,farmland,44.74,30.82,13.92,56.96
Waves,8,cliff,30.26,18.37,11.89,55.95
Waves,9,bay,16.12,4.45,11.67,55.84
Waves,10,orchard,24.67,13.55,11.12,55.56
Waves,11,ferry_terminal,23.68,12.62,11.06,55.53
Waves,12,viewpoint,49.01,38.23,10.78,55.39
Waves,13,heat,19.41,8.79,10.62,55.31
Wind,1,bare_rock,66.27,15.99,50.28,75.14
Wind,2,parking_space,71.08,33.52,37.56,68.78
Wind,3,toilets,87.95,57.68,30.27,65.14
Wind,4,museum,68.67,38.42,30.25,65.12
Wind,5,steps,100.00,70.35,29.65,64.83
Wind,6,warehouse,53.01,23.60,29.41,64.70
Wind,7,cathedral,34.94,8.33,26.61,63.30
Wind,8,bench,100.00,74.20,25.80,62.90
Wind,9,ruins,37.35,11.93,25.42,62.71
Wind,10,shingle,30.12,4.75,25.37,62.69
Wind,11,bar,72.29,47.02,25.27,62.64
Wind,12,motorway_link,43.37,18.51,24.86,62.43
Wind,13,flowline,25.30,0.64,24.66,62.33
Wind,14,picnic_site,48.19,23.76,24.43,62.21
Wind,15,river,60.24,35.99,24.25,62.12
Wind,16,hotel,74.70,50.68,24.02,62.01
Wind,17,bus_stop,100.00,76.19,23.81,61.91
Wind,18,ref,25.30,1.59,23.71,61.85
Wind,19,crossing,100.00,76.37,23.63,61.81
Wind,20,platform,100.00,76.43,23.57,61.78
Wind,21,polling_station,24.10,0.82,23.28,61.64
Wind,22,motorway_junction,44.58,21.45,23.13,61.56
Wind,23,tertiary_link,44.58,21.72,22.86,61.43
Wind,24,cape,25.30,2.52,22.78,61.39
Wind,25,terrace,49.40,26.70,22.70,61.35
Wind,26,information,87.95,65.31,22.64,61.32
Wind,27,busway,30.12,8.25,21.87,60.94
Wind,28,post_office,61.45,40.02,21.43,60.72
Wind,29,stripclub,25.30,3.92,21.38,60.69
Wind,30,stop,69.88,48.79,21.09,60.55
Wind,31,light_rail,28.92,8.27,20.65,60.33
Wind,32,shed,62.65,42.19,20.46,60.23
Wind,33,drinking water,65.06,44.66,20.40,60.20
Wind,34,viewpoint,59.04,38.64,20.40,60.20
Wind,35,allotments,43.37,23.20,20.17,60.08
Wind,36,nightclub,42.17,22.01,20.16,60.08
Wind,37,cycleway,83.13,63.01,20.12,60.06
Wind,38,level_crossing,42.17,22.75,19.42,59.71
Wind,39,motorway,39.76,20.37,19.39,59.69
Wind,40,telephone,43.37,24.11,19.26,59.63
Wind,41,police,54.22,35.14,19.08,59.54
Wind,42,bunker,26.51,7.56,18.95,59.48
Wind,43,cooking_school,19.28,0.37,18.91,59.45
Wind,44,military,30.12,11.27,18.85,59.43
Wind,45,fire_station,43.37,24.98,18.39,59.19
Wind,46,clinic,54.22,35.93,18.29,59.14
Wind,47,dentist,51.81,33.57,18.24,59.12
Wind,48,attraction,59.04,41.18,17.86,58.93
Wind,49,street_lamp,65.06,47.23,17.83,58.92
Wind,50,pedestrian,75.90,58.07,17.83,58.92
